ParkCode,SiteName,SiteCode,Description
ACAD,Eagle Lake,NETN_ACAD_EAGL,"Oligotrophic, stratified lake with an area of 465.8 acres. Part of the public water supply. Inlet: Bubble Brook. Outlet: Duck Brook. Avg. depth 44 ft (13.4 m); Max. depth 110 ft (33.5 m)"
ACAD,Echo Lake,NETN_ACAD_ECHO,"Oligotrophic, stratified lake with an area of 236.8 acres. Inlet: Lurvey Spring Brook. Outlet: Denning Brook.  Avg. depth 28 ft (8.5 m); Max. depth 66 ft (20.1 m)"
ACAD,Hadlock Brook,NETN_ACAD_HADB,High elevation stream flowing southwest from Sargent Mountain into Upper Hadlock Pond. Former site of USGS stream gage 01022860 (1999- 2006). Cumulative watershed area: 125.59 acres (0.51 km<sup>2</sup>)
ACAD,Heath Brook,NETN_ACAD_HTHB,The stream flows southeast into Lurvey Brook. It originates in a wetland to the southeast of Seal Cove pond and north of Seal Cove Road. Cumulative watershed area: 614.69 acres (2.49 km<sup>2</sup>)
ACAD,Hodgdon Pond,NETN_ACAD_HODG,"Mesotrophic, stratified lake with an area of 44.7 acres. Inlet: Hodgdon Brook. Outlet: unnamed stream on southern end drains to Seal Cove Pond.  Avg. depth 11 ft (3.4 m); Max. depth 22 ft (6.7 m)"
ACAD,Hunters Brook,NETN_ACAD_HNTR,"The stream flows south from Pemetic and Cadillac mountains, into the ocean (Hunters Beach). Cumulative watershed area: 874.66 acres (3.54 km<sup>2</sup>)"
ACAD,Jordan Pond,NETN_ACAD_JORD,"Oligotrophic, stratified lake with an area of 186.2 acres. Part of the public water supply. One of the clearest lakes in the state of Maine. Inlet: Deer Brook. Outlet: Jordan Stream. Avg. depth 84 ft (25.6m); Max. depth 150 ft (45.7 m)"
ACAD,Kebo Brook,NETN_ACAD_KEBO,The stream flows north and east from Kebo Mountain into Cromwell Brook. Cumulative watershed area: 491.62 acres (1.99 km<sup>2</sup>)
ACAD,Lake Wood,NETN_ACAD_WOOD,"Mesotrophic, unstratified lake with an area of 16.8 acres. Inlet: unnamed streams on southern end. Outlet: Lake Wood outlet stream (flows into Stony Brook). Avg. depth 7 ft (2.1 m); Max. depth 11 ft (3.4 m)"
ACAD,Lake Wood Outlet,NETN_ACAD_LKWO,The stream flows north from Lake Wood into Stony Brook. Cumulative watershed area: 381.08 acres (1.54 km<sup>2</sup>)
ACAD,Long Pond (MDI),NETN_ACAD_LONG,"Oligotrophic, stratified lake with an area of 936.8 acres. Part of the public water supply. Inlets: Duck Pond Brook, Great Brook. Outlet: unnamed stream flowing to Ripple Pond.  Avg. depth 37 ft (11.3 m); Max. depth 113 ft (34.4 m)"
ACAD,Lower Breakneck,NETN_ACAD_LBRK,"Mesotrophic, stratified pond with an area of 8 acres. Its inlet and outlet is Breakneck Brook. Avg. depth 11 ft (3.4 m); Max. depth 21 ft (6.4 m)"
ACAD,Lower Hadlock,NETN_ACAD_LHAD,"Mesotrophic, stratified lake with an area of 37.1 acres. Part of the public water supply. Its inlet and outlet is Hadlock Brook.  Avg. depth 18 ft (5.5 m); Max. depth 40 ft (12.2 m)"
ACAD,Lurvey Brook,NETN_ACAD_LVYB,The stream flows south into Bass Harbor Marsh. It originates on the lower portion of the southern side of Bernard Mountain. Cumulative watershed area: 93.99 acres (0.38 km<sup>2</sup>)
ACAD,Lurvey Spring Brook,NETN_ACAD_LSIE,The stream flows north from Lurvey Spring into Echo Lake. Cumulative watershed area: 406.34 acres (1.64 km<sup>2</sup>)
ACAD,Marshall Brook,NETN_ACAD_MRSL,"The stream flows south from Mansell Mountain, through Gilley Field, and into Bass Harbor Marsh. Cumulative watershed area: 1288.17 acres (5.21 km<sup>2</sup>)"
ACAD,Otter Creek,NETN_ACAD_OTRC,"The stream drains a large area on the southeastern side of Cadillac Mountain and portions of Halfway Mountain. It flows southeast, into the ocean (Otter Cove). Site of USGS stream gage 01022840 (2006- present). Cumulative watershed area: 1372.58 acres (5.55 km<sup>2</sup>)"
ACAD,Round Pond,NETN_ACAD_ROUN,"Mesotrophic, unstratified lake with an area of 36.3 acres. Outlet: unnamed stream on southern end. Avg. depth 11 ft (3.4 m); Max. depth 19 ft (5.8 m) "
ACAD,Sargent Brook,NETN_ACAD_SGTB,"The stream flows west from Sargent Mountain into the ocean (Sargent Cove, Somes Sound). Cumulative watershed area: 170.48 acres (0.69 km<sup>2</sup>)"
ACAD,Seal Cove Pond,NETN_ACAD_SEAL,"Mesotrophic, stratified lake with an area of 254.7 acres. Inlets: unnamed stream from Hodgdon Pond, Steward Brook. Outlet: Seal Cove Brook. Avg. depth 18 ft (5.5 m); Max. depth 44 ft (13.4 m)"
ACAD,Seawall Pond,NETN_ACAD_SEAW,"Small, marshy, shallow freshwater pond , ~150 m from Atlantic Ocean. No direct connection to ocean water."
ACAD,Stanley Brook,NETN_ACAD_STNL,"The stream flows south from the northern edge of Seal Harbor, into the ocean (Seal Harbor). Cumulative watershed area: 922.74 acres (3.73 km<sup>2</sup>)"
ACAD,Upper Breakneck,NETN_ACAD_UBRK,"Mesotrophic, unstratified pond with an area of 9.1 acres. Its inlet and outlet is Breakneck Brook.  Avg. depth 6 ft (1.8 m); Max. depth 12 ft (3.7 m)"
ACAD,Upper Hadlock,NETN_ACAD_UHAD,"Mesotrophic, stratified lake with an area of 37.9 acres. Part of the public water supply. Its inlet and outlet is Hadlock Brook. Avg. depth 14 ft (4.3 m); Max. depth 37 ft (11.3 m)"
ACAD,Witch Hole Pond,NETN_ACAD_WHOL,"Mesotrophic, stratified lake with an area of 23.8 acres. Inlets: two unnamed streams on southwestern and northeastern ends. Outlet: unnamed stream on eastern end. Avg. depth 12 ft (3.7 m); Max. depth 31 ft (9.5 m)"
MABI,Pogue Brook,NETN_MABI_SA00,"Only stream within the park, the outlet of The Pogue. One stream-sampling site was selected to represent Pogue Brook. Site was chosen because it is the most downstream location within park boundaries. Cumulative watershed area: 245.76 acres (0.99 km<sup>2</sup>)"
MABI,The Pogue,NETN_MABI_PA00,"The Pogue is a 14-acre pond at the headwaters of the Pogue Brook. Naturally a spring-fed boggy area, it was created in the 1880s with an earthen dam. Swimming, fishing, or wading is prohibited. Max. depth 3.4 m (11 ft). Cumulative watershed area: 88.95 acres (0.36 km<sup>2</sup>)"
MIMA,Concord River,NETN_MIMA_SC00,"The Concord River site is at the Old North Bridge, 0.49 miles downstream from the confluence of the Sudbury and Assabet Rivers. The site is intended to represent water quality conditions in the Concord River within the North Bridge Unit. In situ WQ measurements are taken at 7 points (near both banks and at each of 5 bridge pylons, measured at half depth) on the bridge. Cumulative watershed area: 212,688.73 acres (860.72 km<sup>2</sup>)"
MIMA,Elm Brook,NETN_MIMA_SB00,"The Elm Brook site is within park boundaries at State Route 2A, 4.3 miles upstream from the confluence with the Shawsheen River. The sampling site represents water quality conditions in Elm Brook within the Battle Road Unit. Cumulative watershed area: 392.47 acres (1.59 km<sup>2</sup>) "
MIMA,Mill Brook,NETN_MIMA_SA00,"The monitoring site is located upstream of Lowell Road between a small retail complex and a private residence. The Mill Brook site is located outside park boundaries because the brook is intermittent where it flows through the Wayside Unit and becomes a wetland where it flows through the North Bridge Unit. Cumulative watershed area: 100,463.25 acres (406.56 km<sup>2</sup>)"
MORR,Indian Grove Brook,NETN_MORR_SD00,"Indian Grove Brook, a tributary of the Passaic River, meanders in and out of the western boundary of the New Jersey Brigade Encampment Unit. The monitoring site is located near where the brook first enters the park, just downstream of the Hardscrabble Road bridge. Upstream of the monitoring site, the Indian Grove Brook watershed is characterized by a low-density suburban, but largely forested, landscape. Cumulative watershed area: 1,390.41 acres (5.63 km<sup>2</sup>) "
MORR,Passaic River,NETN_MORR_SE00,"The Passaic River is a mature surface river draining much of the northern portion of New Jersey through its tributaries before emptying into Newark Bay, a backbay of New York Harbor. The monitoring site, located along the upstream boundary of the New Jersey Brigade Unit, focuses on the condition of the river's headwaters before they enter the park. Cumulative watershed area: 2.695.93 acres (10.91 km<sup>2</sup>)"
MORR,Primrose Brook Confluence,NETN_MORR_SB00,"Primrose Brook, a tributary of the Passaic River, drains an area almost entirely contained within the Jockey Hollow Unit. The monitoring site is located downstream of the USGS staff gage (01378780) installed just below the confluence of East and West Primrose Brooks. Cumulative watershed area: 690.74 acres (2.80 km<sup>2</sup>)"
ROVA,Fall Kill,NETN_ROVA_SF00,"The Fall Kill site is at the outlet of Val Kill Pond, downstream of the bridge to Eleanor Roosevelt home. Cumulative watershed area: 7,995.26 acres (32.19 km<sup>2</sup>)"
ROVA,Lower Crum Elbow Creek,NETN_ROVA_SD00,"The Lower Crum Elbow site is located downstream of plunge pool from waterfall at Dock St. crossing, where stream exits park just before flowing into Hudson River. Historic site VAMA-3. Cumulative watershed area: 12,467.75 acres (50.46 km<sup>2</sup>)"
ROVA,Lower FDR Brook,NETN_ROVA_SA00,FDR Brook tributary (Historic site HOFR-3) where stream exits park. Cumulative watershed area: 70.87 acres (0.29 km<sup>2</sup>)
ROVA,Maritje Kill (Stream E),NETN_ROVA_SE00,"The Maritje Kill site is located upstream of a culvert under narrow bridge on Roosevelt Farm Lane (Hyde Park Trail) with limited motor vehicle access. Cumulative watershed area: 1,924.40 acres (7.79 km<sup>2</sup>)"
ROVA,Upper FDR Brook,NETN_ROVA_SB00,"Upstream site on FDR Brook, adjacent to Henry A. Wallace Visitor and Education Center complex, where stream enters park. Several dams/flow gates (not managed by NPS) upstream of site. Historic site HOFR-1. Cumulative watershed area: 335.51 acres (1.36 km<sup>2</sup>)"
SAGA,Blow-Me-Down Brook,NETN_SAGA_SB00,"Blow-Me-Down Brook is one of two perennial streams running through the park. This site, near the confluence with Blow-Me-Up Brook, was chosen because it samples the brook soon after crossing the parks northwestern boundary. Beginning in 1997 (prior to I&M  monitoring), this location was monitored by the park (historic site 3). Cumulative watershed area: 16,737.58 acres (67.73 km<sup>2</sup>)"
SAGA,Blow-Me-Down Pond,NETN_SAGA_PA00,"Blow-Me-Down Pond, the result of the impoundment of Blow-Me-Down Brook, has been a water quality site measured by the park since 1997 (historic site 5). Concerns for the site include siltation of the area behind the dam. Max. depth 2.03 m (6.7 ft). Cumulative watershed area: 17,987.34 acres (72.79 km<sup>2</sup>) "
SAGA,Blow-Me-Up Brook,NETN_SAGA_SA00,"Blow-Me-Up Brook is one of two perennial streams running through the park. The site was chosen because it samples the brook soon after it crosses the park's northeastern boundary. Beginning in 1997 (prior to I&M  monitoring), this location was monitored by the park (historic site 3). Cumulative watershed area: 991.86 acres (4.01 km<sup>2</sup>)"
SAIR,Saugus River,NETN_SAIR_SA00,"The USGS has operated a continuous-record stream flow gage on the Saugus River just upstream of the park boundary (USGS 01102345) since 1994. Although the gaging station is just upstream of the park, because the stream reach within the park boundary is only 0.25 miles, this station adequately represents water quality within the park. Water quality samples and sonde measurements are taken twice a year (May and August) by NETN at the location of the USGS gage. Cumulative watershed area: 14,398.78 acres (58.27 km<sup>2</sup>)"
SAIR,Turning Basin,NETN_SAIR_SB00,"Historically, the tidal Turning Basin provided a shipping corridor for shallow draft boats bringing raw bog ore to the iron works and delivering finished goods to Boston and beyond. Water quality samples and sonde measurements are taken twice a year (May and August) at the Turning Basin. NETN water monitoring at SAIR began in 2007, and from that year through 2011 only sonde measurements are available for the Turning Basin. The Turning Basin was the subject of a major restoration project between the 2007 and 2008 sampling years. Cumulative watershed area: 14,472.50 acres (58.57 km<sup>2</sup>)"
SARA,Kroma Kill,NETN_SARA_SA00,"Kroma Kill is a third order stream in the park and is monitored upstream of the first bridge crossing along the Park Entrance Road from Route 4. Historic sample sites on this stream were deemed less desirable for NETN because of potential backwater effects from the Hudson River, and road or park boundary constraints. Cumulative watershed area: 4,295.62 acres (17.38 km<sup>2</sup>)"
SARA,Mill Creek Confluence,NETN_SARA_SD00,"Mill Creek enters the Hudson River as a second order stream. The Lower Mill Creek site is approximately 200 m downstream of the confluence of the North and South Forks (historic site SARA0053). This site provides an integrated sample for the watersheds of the North and South Forks as the South Fork can have low flow and does not meet sampling site criteria. The Lower Mill Creek site has a cobbled bed and a well-defined floodplain terrace similar to the North Fork. Cumulative watershed area: 1,865.88 acres (7.55 km<sup>2</sup>)"
SARA,Upper Mill Creek,NETN_SARA_SC00,"Mill Creek enters the Hudson River as a second order stream. The Upper Mill Creek site is located on the North Fork, near where the stream enters the park, just downstream of the park tour road. The stream is very small at this location but appears to be perennial and the box culvert can be used for accurate discharge measurements when flows are elevated. Cumulative watershed area: 576.19 acres (2.33 km<sup>2</sup>)"
WEFA,Weir Pond,NETN_WEFA_PA00,"Julian Alden Weir authorized workers to construct an earthen dam in 1896 to form the approximately four acre pond. The dam extends for over 200 feet along the northeast perimeter of the pond and varies in width from eight to ten feet. A roughly circular section of land in the northeast section of the pond was likely left unexcavated and when the pond filled with water, an island was formed. Weir erected a summerhouse (which disappeared entirely in the 1930s) on the center of this island. The pond has been used for artistic inspiration, recreational fishing, as a hiking destination, and as a source of ice until the 1940s. Max. depth 2.09 m (6.86 ft). Cumulative watershed area: 54.92 acres (0.22 km<sup>2</sup>)"
